CountryName,code,CoverageType,ppp_2005_v1_v1,ppp_2011_v1_v1,ppp_2011_v1_v2,ppp_2011_v2_v1,ppp_2011_v2_v2,ppp_2017_v1_v1,ppp_2017_v1_v2,ppp_2021_v1_v1,ppp_2021_v1_v2,source_ppp_2011,source_ppp_2005,datalevel,ppp_domain,ppp_domain_value,oldicp2005,oldicp2011,Seriesname,note_may192020,note_2017_v1_v2,source_2017_v2_v1,method_2017_v2_v1,ref_2017_v2_v1,link_2017_v2_v1,source_2021_v1_v1,method_2021_v1_v1,ref_2021_v1_v1,link_2021_v1_v1,note_2021_v1_v1
Austria,AUT,National,.890457332134246826,.847583770751953125,.84758384600000003,.851442277431488037,.851442277431488037,.830946147441864014,.830946147441864014,.753840148448943981,.753840148448943981,1,1,2,1,1,.89,.847584,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Azerbaijan,AZE,National,1736.7535400390625,.329418689012527466,.329418712000000002,.323440015316010021,.323440015316010021,.486966043710709007,.486966043710709007,.482756495475768988,.482756495475768988,1,1,2,1,1,1736.75,1647.09,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Burundi,BDI,National,447.035858154296875,487.327301025390625,487.327276299999994,496.116638183593977,496.116638183593977,654.421569824218977,654.421569824218977,657.409301757812955,657.409301757812955,1,1,2,1,1,,487.327,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Belgium,BEL,National,.926073968410491943,.879014015197753906,.879013970000000033,.877747714519500955,.877747714519500955,.845323443412780984,.845323443412780984,.778574407100677046,.778574407100677046,1,1,2,1,1,.93,.879014,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Benin,BEN,National,275.18878173828125,224.917205810546875,224.91722390000001,225.412475585938012,225.412475585938012,219.476272583008012,219.476272583008012,219.011093139648011,219.011093139648011,1,1,2,1,1,,224.917,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bonaire Island,BES,National,,.919288814067840576,.919288765000000008,,,,,,,1,,2,1,1,,,,,,,,,,,,,,
Burkina Faso,BFA,National,242.41741943359375,222.24200439453125,222.241966399999996,223.072814941405994,223.072814941405994,199.74137878418,199.74137878418,192.504241943359006,192.504241943359006,1,1,2,1,1,,222.242,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bangladesh,BGD,National,25.4938716888427734,24.8491592407226563,24.8491548000000009,24.7321186065674006,24.7321186065674006,29.5140819549561009,29.5140819549561009,29.2148799896239986,29.2148799896239986,1,1,2,1,1,25.494,24.8492,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bulgaria,BGR,National,.736880481243133545,.765067994594573975,.76506799999999997,.793875575065613015,.793875575065613015,.735404968261718972,.735404968261718972,.74488741159439098,.74488741159439098,1,1,2,1,1,.7369,.765068,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bahrain,BHR,National,.319422334432601929,.215387195348739624,.215387245000000005,.17862726747989699,.17862726747989699,.204112082719802995,.204112082719802995,.208697304129600997,.208697304129600997,1,1,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
