CountryName,code,CoverageType,ppp_2005_v1_v1,ppp_2011_v1_v1,ppp_2011_v1_v2,ppp_2011_v2_v1,ppp_2011_v2_v2,ppp_2017_v1_v1,ppp_2017_v1_v2,ppp_2021_v1_v1,ppp_2021_v1_v2,source_ppp_2011,source_ppp_2005,datalevel,ppp_domain,ppp_domain_value,oldicp2005,oldicp2011,Seriesname,note_may192020,note_2017_v1_v2,source_2017_v2_v1,method_2017_v2_v1,ref_2017_v2_v1,link_2017_v2_v1,source_2021_v1_v1,method_2021_v1_v1,ref_2021_v1_v1,link_2021_v1_v1,note_2021_v1_v1
Comoros,COM,National,294.410858154296875,220.572494506835938,220.57248899999999,235.604125976563012,235.604125976563012,213.51823425293,213.51823425293,228.047790527344006,228.047790527344006,1,1,2,1,1,,220.572,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Cabo Verde,CPV,National,78.1746063232421875,47.5651397705078125,47.565139870000003,48.0573387145996023,48.0573387145996023,47.6121101379395029,47.6121101379395029,54.4044685363770029,54.4044685363770029,1,1,2,1,1,,47.5651,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Costa Rica,CRI,National,278.96099853515625,343.78570556640625,343.78566840000002,349.406890869141023,349.406890869141023,372.669281005858977,372.669281005858977,363.652404785156023,363.652404785156023,1,4,2,1,1,278.961,343.786,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Cuba,CUB,National,,.29162520170211792,.291625230000000013,.29162522994967699,.29162522994967699,,,,,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,,,,,,,,,
Curaçao,CUW,National,,1.42915797233581543,1.4291578920000001,1.46215999126433993,1.46215999126433993,1.48293137550354004,1.48293137550354004,1.40905082225800005,1.40905082225800005,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Cayman Islands,CYM,National,,1.13573694229125977,1.13573668299999997,1.12989151477814009,1.12989151477814009,1.14961755275726008,1.14961755275726008,1.16750240325928001,1.16750240325928001,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Cyprus,CYP,National,.452117413282394409,.711552679538726807,.711552765999999948,.758788943290710005,.758788943290710005,.668168365955353005,.668168365955353005,.622883915901183971,.622883915901183971,1,1,2,1,1,.45,.416453,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Czech Republic,CZE,National,15.1969614028930664,14.900970458984375,14.9009692400000002,14.4391088485718004,14.4391088485718004,13.6513538360596005,13.6513538360596005,13.5775756835937997,13.5775756835937997,1,1,2,1,1,15.2,14.901,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Germany,DEU,National,.905448198318481445,.818029224872589111,.818029201999999955,.827064931392670011,.827064931392670011,.787180304527283048,.787180304527283048,.740518450736999956,.740518450736999956,1,1,2,1,1,.91,.818029,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Djibouti,DJI,National,107.80657958984375,101.480598449707031,101.480583899999999,100.624099731445,100.624099731445,104.736534118652003,104.736534118652003,96.9307632446289063,96.9307632446289063,1,1,2,1,1,107.807,101.481,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Dominica,DMA,National,2.37199997901916504,2.06911802291870117,2.06911770799999983,2.03531002998352006,2.03531002998352006,1.87624812126160001,1.87624812126160001,1.62632060050964,1.62632060050964,1,4,2,1,1,2.372,2.0691,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Denmark,DNK,National,9.08813858032226563,8.52388668060302734,8.52388641499999977,8.33768939971924006,8.33768939971924006,7.89104461669921964,7.89104461669921964,7.24020099639893022,7.24020099639893022,1,1,2,1,1,9.09,8.52389,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Dominican Republic,DOM,National,20.3959999084472656,20.7410297393798828,20.741029919999999,20.7649650573730007,20.7649650573730007,24.390577316284201,24.390577316284201,23.1358222961425994,23.1358222961425994,1,4,2,1,1,20.396,20.741,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Algeria,DZA,National,38.7393989562988281,31.7722892761230469,31.7722869099999983,31.5179710388183985,31.5179710388183985,38.209743499755902,38.209743499755902,39.3659477233887003,39.3659477233887003,1,4,2,1,1,38.7394,31.7723,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Ecuador,ECU,National,.500846743583679199,.547234475612640381,.547234451000000011,.547755241394042969,.547755241394042969,.574503362178802046,.574503362178802046,.485309660434723011,.485309660434723011,1,1,2,1,1,.501,.547234,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
"Egypt, Arab Republic of",EGY,National,2.02239179611206055,1.8029789924621582,2.77700000000000014,1.71469175815582009,2.87164799999999998,3.40778803825378018,4.84354969999999963,4.11445045471190962,5.04251600047217785,1,1,2,1,1,2.02239,2.84403,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,Aziz's imputation,Revised 2017 - Dec 9 2021,PIP,Average of official and imputed PPP,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,PIP,Average of official and imputed PPP,Jolliffe et al. (forthcoming),https://databank.worldbank.org/source/icp-2021,
Egypt (Western Asia),EGZ,National,,,2.77700000000000014,,,,,,,1,,2,1,1,,,,,,,,,,,,,,
Eritrea,ERI,National,,,,6.43952300948783041,6.43952300948783041,7.58917328565831006,7.58917328565831006,5.19667768478393999,5.19667768478393999,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Spain,ESP,National,.803246200084686279,.776916980743408203,.776917002999999995,.788239359855651967,.788239359855651967,.702861428260803001,.702861428260803001,.660564243793487993,.660564243793487993,1,1,2,1,1,.8,.776917,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Estonia,EST,National,8.83235454559326172,.608563423156738281,.608563435999999958,.580060362815857045,.580060362815857045,.596426010131836049,.596426010131836049,.613318383693694957,.613318383693694957,1,1,2,1,1,8.832,9.52195,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Ethiopia,ETH,National,2.75126051902770996,5.43861293792724609,5.43861362600000042,5.57474660873412997,5.57474660873412997,8.49641704559325994,8.49641704559325994,13.4367609024047994,13.4367609024047994,1,1,2,1,1,,5.43861,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Finland,FIN,National,1.07653462886810303,.980246305465698242,.980246277999999971,.972924590110779031,.972924590110779031,.933300733566283958,.933300733566283958,.867450714111328014,.867450714111328014,1,1,2,1,1,1.08,.980246,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Fiji,FJI,National,1.54813385009765625,1.21654105186462402,1.21654093899999993,1.01624679565429998,1.01624679565429998,.985945224761963002,.985945224761963002,.944870650768280029,.944870650768280029,1,1,2,1,1,1.54813,1.21654,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
France,FRA,National,.938072025775909424,.879754126071929932,.879754084999999964,.879804968833923007,.879804968833923007,.835355579853057972,.835355579853057972,.76645958423614502,.76645958423614502,1,1,2,1,1,.94,.879754,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
,FRO,National,,,,,,,,6.53218603134155007,6.53218603134155007,,,2,,,,,,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
"Micronesia, Federated States of",FSM,National,,.998255014419555664,.998254747000000053,.998254746991047992,.998254746991047992,.977218368892130984,.977218368892130984,,.949481189250946045,1,,2,1,1,,.998255,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,PIP,Revised 2011 PPP extrapolated to 2017,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,PIP,Revised 2011 PPP extrapolated to 2021,Jolliffe et al. (forthcoming),https://databank.worldbank.org/source/icp-2021,
Gabon,GAB,National,443.749298095703125,359.218505859375,359.218531100000007,359.344451904296989,359.344451904296989,319.160339355468977,319.160339355468977,300.234985351563012,300.234985351563012,1,1,2,1,1,,359.219,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
United Kingdom,GBR,National,.658441603183746338,.756404101848602295,.756404104000000022,.776341915130615012,.776341915130615012,.779730021953582986,.779730021953582986,.720495343208312988,.720495343208312988,1,1,2,1,1,.66,.756404,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Georgia,GEO,National,.784545838832855225,.841907083988189697,.841907088999999997,.835233986377715953,.835233986377715953,.924675631224921024,.924675631224921024,1.07347714900969993,1.07347714900969993,1,1,2,1,1,.7845,.841907,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Ghana,GHA,National,4475.82177734375,.788021683692932129,.78802172199999998,.778912186622619962,.778912186622619962,1.75099217891693004,1.75099217891693004,2.45419526100159002,2.45419526100159002,1,1,2,1,1,,.788022,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Guinea,GIN,National,1479.5655517578125,2572.343017578125,2572.34312,2599.89086914063,2599.89086914063,3213.984375,3446.93220000000019,3221.26123046875,3471.78363561220795,1,1,2,1,1,,2572.34,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,Revised 2017 - Dec 9 2021,PIP,Average of official and imputed PPP,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,PIP,Average of official and imputed PPP,Jolliffe et al. (forthcoming),https://databank.worldbank.org/source/icp-2021,
"Gambia, The",GMB,National,10.3443450927734375,10.8264703750610352,10.8264736500000005,10.9116315841675,10.9116315841675,15.1142482757568004,15.1142482757568004,15.4241504669188991,15.4241504669188991,1,1,2,1,1,,10.8265,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Guinea-Bissau,GNB,National,284.27581787109375,248.235794067382813,248.235807300000005,258.323425292968977,258.323425292968977,232.199493408203011,232.199493408203011,217.984680175780994,217.984680175780994,1,1,2,1,1,284.28,248.236,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Equatorial Guinea,GNQ,National,436.28515625,321.35430908203125,321.354314299999999,328.0908203125,328.0908203125,304.286590576171989,304.286590576171989,287.690673828125,287.690673828125,1,1,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Greece,GRC,National,.771838605403900147,.758253872394561768,.758253882999999962,.768063366413116011,.768063366413116011,.646304905414580966,.646304905414580966,.600590288639069048,.600590288639069048,1,1,2,1,1,.77,.758254,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Grenada,GRD,National,,2.09176111221313477,2.09176080599999992,2.10586404800414995,2.10586404800414995,1.79951441287994007,1.79951441287994007,1.8508665561676001,1.8508665561676001,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
,GRL,National,,,,,,,,5.48598432540893999,5.48598432540893999,,,2,,,,,,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Guatemala,GTM,National,4.53999996185302734,3.87323904037475586,3.87323918000000012,3.89240765571594016,3.89240765571594016,4.40326976776122958,4.40326976776122958,3.4430012702941899,3.4430012702941899,1,4,2,1,1,4.54,3.87324,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Guam,GUM,National,,,1.08481524700000009,1.0848152473971,1.0848152473971,,,,,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,,,,,,,,,
Guyana,GUY,National,,133.261001586914063,133.261200000000002,120.83203125,120.83203125,115.626327514647997,115.626327514647997,99.4597091674804972,99.4597091674804972,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
"Hong Kong SAR, China",HKG,National,7.23605060577392578,5.75348901748657227,5.7534883050000003,5.64699649810791016,5.64699649810791016,6.24202394485473988,6.24202394485473988,6.3883409500122097,6.3883409500122097,1,1,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Honduras,HND,National,9.66199970245361328,10.0803098678588867,10.0803142799999996,10.2638854980468999,10.2638854980468999,10.8387718200684002,10.8387718200684002,11.7821350097656001,11.7821350097656001,1,4,2,1,1,9.662,10.0803,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Croatia,HRV,National,4.46187496185302734,4.35850286483764648,4.35850282400000033,4.22490882873534979,4.22490882873534979,3.81466317176818981,3.81466317176818981,.48258921504020702,3.63606844072044,1,1,2,1,1,4.462,4.3585,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,Multiply ICP PPP by currency,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,Multiply ICP PPP by currency,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Haiti,HTI,National,19.3649997711181641,20.7057399749755859,20.7057436700000004,20.8325958251952983,20.8325958251952983,31.1029396057129013,31.1029396057129013,53.031234741210902,53.031234741210902,1,4,2,1,1,19.365,20.7057,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Hungary,HUN,National,137.517501831054688,137.882904052734375,137.882872399999997,137.179412841796989,137.179412841796989,147.376739501953011,147.376739501953011,165.821228027344006,165.821228027344006,1,1,2,1,1,137.5,137.883,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Indonesia,IDN,National,,,4091.93908599999986,3892.21752929688,3892.21752929688,5089.68603515625,5089.68603515625,5353.5595703125,5353.5595703125,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Indonesia,IDN,Rural,3399.679931640625,3666.159912109375,3666.16400000000022,,3498.87583865399984,4746.85199999999986,5089.68599999999969,,5353.55959999999959,4,4,0,2,2,3399.68,3666.16,,"PPP paper 2017, Table A.2",,,,,,,,,,
Indonesia,IDN,Urban,4795.8798828125,4360.47998046875,4360.47699999999986,,4140.29924910400041,5098.19599999999991,5089.68599999999969,,5353.55959999999959,4,4,1,2,1,4795.88,4360.48,,"PPP paper 2017, Table A.2",,,,,,,,,,
India,IND,National,,,14.9751616500000004,15.2828931808471999,15.2828931808471999,19.4690399169922017,19.4690399169922017,19.4689502716063991,19.4689502716063991,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
India,IND,Rural,11.3999996185302734,12.9079999923706055,12.9050100000000008,,13.1734532630699999,17.0919999999999988,19.4690399999999997,,19.4689499999999995,4,4,0,2,2,11.4,12.908,,"PPP paper 2017, Table A.2",,PIP,Imputation,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,PIP,Imputation,Jolliffe et al. (forthcoming),https://databank.worldbank.org/source/icp-2021,
India,IND,Urban,17.2350006103515625,15.6949996948242188,15.6963600000000003,,16.017724070749999,16.0180000000000007,19.4690399999999997,,19.4689499999999995,4,4,1,2,1,17.235,15.695,,"PPP paper 2017, Table A.2",,PIP,Imputation,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,PIP,Imputation,Jolliffe et al. (forthcoming),https://databank.worldbank.org/source/icp-2021,
Ireland,IRL,National,1.08999538421630859,.951714277267456055,.951714249000000012,.957771956920624001,.957771956920624001,.970723450183867964,.970723450183867964,.980556547641754039,.980556547641754039,1,1,2,1,1,1.09,.951714,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
"Iran, Islamic Republic of",IRN,National,2714.82275390625,5001.36279296875,5001.36340999999993,5323.44189453125,5323.44189453125,13944.904296875,13944.904296875,48021.04296875,48021.04296875,1,1,2,1,1,2714.82,5001.36,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Iraq,IRQ,National,639.86590576171875,573.418212890625,1003.79899999999998,477.558532714843977,939.216499999999996,555.390686035156023,586.496809999999982,575.5927734375,575.5927734375,1,1,2,1,1,639.866,795.99,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,Aziz's imputation,Revised 2017 - Dec 9 2021,PIP,Average of official and imputed PPP,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Iceland,ISL,National,104.064010620117188,138.895004272460938,138.894954399999989,140.807662963866989,140.807662963866989,155.647933959960994,155.647933959960994,156.364822387695,156.364822387695,1,1,2,1,1,104.06,138.895,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
